step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
4816,2023-07-03 13:30:11.865155347,2,194.02138,39.0,-0.07565645212097771,7565.628716997772,-0.03129007698021269,0.0164951
4817,2023-07-03 13:30:11.865155347,2,194.02099,41.0,-0.07953611001943811,7953.594506843811,-0.03129007698021269,0.0164951
4818,2023-07-03 13:30:11.865894087,2,194.02058,18.0,-0.034917908957143556,3491.774458614356,-0.03329007698022224,0.0164371
4819,2023-07-03 13:30:11.865920594,2,194.0304,10.0,-0.019402186916301977,1940.2020992301977,-0.010290076980226104,0.0165924
4820,2023-07-03 13:30:11.865920594,2,194.03029999999998,9.0,-0.017462694917071777,1746.2528993071778,-0.0022900769802163268,0.0165924
4821,2023-07-03 13:30:11.865968988,2,194.03020999999998,23.0,-0.04462687501929455,4462.670448229454,-0.001290076980211552,0.0170537
4822,2023-07-03 13:30:11.865968988,2,194.03998,16.0,-0.031044146524683167,3104.3975987683166,-0.015290076980221556,0.0170537
4823,2023-07-03 13:30:11.865968988,2,194.03982000000002,30.0,-0.058209719513905946,5820.954897690594,-0.008290076980216554,0.0170537
4824,2023-07-03 13:30:11.865968988,2,194.03952,10.0,-0.01940190352930198,1940.173299230198,-0.02229007698022656,0.0170537
4825,2023-07-03 13:30:11.865968988,2,194.03942,42.0,-0.08149594150466831,8149.57709676683,-0.0022900769802163268,0.0170537
4826,2023-07-03 13:30:11.866048500,2,194.03900000000002,8.0,-0.015520548129841584,1552.0383193841583,-0.03429007698022701,0.0164936
4827,2023-07-03 13:30:11.874706660,2,194.03892000000002,8.0,-0.015523261110841584,1552.3096793841582,-0.0002900769802351988,0.0164317
4828,2023-07-03 13:30:11.879001869,2,194.03884000000002,23.0,-0.04462908388329455,4462.891938229455,-0.0002900769802351988,0.0164501
4829,2023-07-03 13:30:11.883788921,2,194.03861,42.0,-0.0814901354616683,8148.997076766831,-0.015290076980221556,0.0164694
4830,2023-07-03 13:30:11.888160500,2,194.03819000000001,12.0,-0.023280646676762377,2328.0482390762377,-0.03429007698022701,0.0164286
4831,2023-07-03 13:30:12.145220840,2,194.03807,13.0,-0.02522457274799257,2522.440828999257,-0.0042900769802258765,0.0164458
4832,2023-07-03 13:30:12.278504575,2,194.03794000000002,13.0,-0.025224426099992574,2522.4261389992575,-0.005290076980230651,0.016471
4833,2023-07-03 13:30:12.278533049,2,194.04781,36.0,-0.06985560097428711,6985.543677228712,-0.005290076980230651,0.0164202
4834,2023-07-03 13:30:12.278642744,2,194.04745,10.0,-0.019402093566301976,1940.1925992301976,-0.028290076980226786,0.0167574
4835,2023-07-03 13:30:12.278642744,2,194.04735,13.0,-0.025226042263992575,2522.5874689992575,-0.0022900769802163268,0.0167574
4836,2023-07-03 13:30:12.294980078,2,194.04722,39.0,-0.07567666938097772,7567.650476997772,-0.005290076980230651,0.0164611
4837,2023-07-03 13:30:12.420272893,2,194.04683,19.0,-0.03686315285037376,3686.298868537376,-0.03129007698021269,0.0164165
4838,2023-07-03 13:30:12.420874800,2,194.03664,29.0,-0.05626760023567574,5626.743557767573,-0.011290076980230879,0.0164658
4839,2023-07-03 13:30:12.650488192,2,194.02635,14.0,-0.027160894274222767,2716.072798922277,-0.021290076980221784,0.0166285
4840,2023-07-03 13:30:12.650488192,2,194.03621,22.0,-0.04268679706806435,4268.663078306436,-0.006290076980235426,0.0166285
4841,2023-07-03 13:30:12.941851803,2,194.03599000000003,28.0,-0.05432631959744554,5432.615437844554,-0.014290076980216782,0.0165219
4842,2023-07-03 13:30:13.039074530,2,194.04571,28.0,-0.054327360711445546,5432.719597844554,-0.02029007698021701,0.0164733
4843,2023-07-03 13:30:13.077374529,2,194.02543,14.0,-0.02716090418922277,2716.073918922277,-0.02029007698021701,0.0165
4844,2023-07-03 13:30:13.077400451,2,194.02528999999998,27.0,-0.052385368729215336,5238.520287921533,-0.006290076980235426,0.016585
4845,2023-07-03 13:30:13.077400451,2,194.02501999999998,39.0,-0.07566255261997772,7566.238676997771,-0.019290076980212234,0.016585
4846,2023-07-03 13:30:13.231337969,2,194.02463,41.0,-0.07953760650343811,7953.743746843811,-0.03129007698021269,0.0169035
4847,2023-07-03 13:30:13.231337969,2,194.02421999999999,33.0,-0.06401728480959652,6401.711577459652,-0.03329007698022224,0.0169035
4848,2023-07-03 13:30:13.878036003,2,194.02389,14.0,-0.027159989750222772,2715.982358922277,-0.02529007698021246,0.0166161
4849,2023-07-03 13:30:13.878065844,2,194.02375,22.0,-0.04268405744706435,4268.388958306436,-0.006290076980235426,0.0167864
4850,2023-07-03 13:30:14.222393681,2,194.02353,29.0,-0.056262928784675745,5626.276367767574,-0.014290076980216782,0.0165107
4851,2023-07-03 13:30:14.222417434,2,194.02324,20.0,-0.038800595633603954,3880.042998460395,-0.021290076980221784,0.0165649
4852,2023-07-03 13:30:14.222417434,2,194.02303999999998,27.0,-0.052383141028215334,5238.297537921533,-0.012290076980235654,0.0165649
4853,2023-07-03 13:30:14.226271647,2,194.02277,9.0,-0.017460486303071784,1746.0321293071781,-0.019290076980212234,0.016501
4854,2023-07-03 13:30:14.267092834,2,194.02268,11.0,-0.021342533713532175,2134.2364991532177,-0.001290076980211552,0.0168722
4855,2023-07-03 13:30:14.267092834,2,194.01257,37.0,-0.07178373919351733,7178.357047151732,-0.0032900769802211016,0.0168722
4856,2023-07-03 13:30:14.267092834,2,194.0122,10.0,-0.01939846971430198,1939.830099230198,-0.02929007698023156,0.0168722
4857,2023-07-03 13:30:14.267092834,2,194.0121,24.0,-0.046562580703524745,4656.241198152475,-0.0022900769802163268,0.0168722
4858,2023-07-03 13:30:14.613978888,2,194.01186,23.0,-0.044619199734294554,4461.903398229455,-0.01629007698022633,0.0165752
4859,2023-07-03 13:30:14.613978888,2,194.01163,39.0,-0.07565889042197772,7565.872466997772,-0.015290076980221556,0.0165752
4860,2023-07-03 13:30:14.614002173,2,194.01124000000002,14.0,-0.027157377021222773,2715.7212589222772,-0.03129007698021269,0.0164432
4861,2023-07-03 13:30:14.621495828,2,194.0111,36.0,-0.06984202540028712,6984.186117228712,-0.006290076980235426,0.0164228
4862,2023-07-03 13:30:14.624471907,2,194.02074,45.0,-0.0872969697343589,8729.68049653589,-0.028290076980226786,0.0164769
4863,2023-07-03 13:30:14.662441993,2,194.02029,15.0,-0.029097641488452963,2909.7472488452963,-0.037290076980212916,0.0169
4864,2023-07-03 13:30:14.662441993,2,194.01014,41.0,-0.0795415055684381,7954.133656843811,-0.007290076980211779,0.0169
4865,2023-07-03 13:30:14.701000070,2,194.00973,16.0,-0.031036421471683163,3103.625598768316,-0.03329007698022224,0.0165484
4866,2023-07-03 13:30:14.701000070,2,193.99957,39.0,-0.07565691675397772,7565.675126997772,-0.008290076980216554,0.0165484
4867,2023-07-03 13:30:14.708468679,2,193.99918000000002,34.0,-0.06594936749982673,6594.9198173826735,-0.03129007698021269,0.0169326
4868,2023-07-03 13:30:14.708468679,2,193.98883999999998,22.0,-0.04267197870906435,4267.180938306436,-0.026290076980217236,0.0169326
4869,2023-07-03 13:30:14.708468679,2,193.98862,30.0,-0.058192558302905935,5819.238897690594,-0.014290076980216782,0.0169326
4870,2023-07-03 13:30:14.708468679,2,193.98832,30.0,-0.05819006830290593,5818.989897690593,-0.02229007698022656,0.0169326
4871,2023-07-03 13:30:14.708468679,2,193.98802,43.0,-0.0834056250588985,8340.54487668985,-0.02229007698022656,0.0176292
4872,2023-07-03 13:30:14.708468679,2,193.98758999999998,22.0,-0.04266973067506435,4266.955438306435,-0.03529007698023179,0.0176292
4873,2023-07-03 13:30:14.708468679,2,193.98737,23.0,-0.044614037574294545,4461.386128229455,-0.014290076980216782,0.0176292
4874,2023-07-03 13:30:14.708468679,2,193.98713999999998,48.0,-0.0931068946550495,9310.67183630495,-0.015290076980221556,0.0176292
4875,2023-07-03 13:30:14.708468679,2,193.98666,43.0,-0.08339730025889851,8339.71239668985,-0.04029007698022724,0.0176292
4876,2023-07-03 13:30:14.708468679,2,193.98623,10.0,-0.01939528028430198,1939.510399230198,-0.03529007698023179,0.0176292
4877,2023-07-03 13:30:14.708468679,2,193.98613,38.0,-0.07371417986274752,7371.400357074752,-0.0022900769802163268,0.0176292
4878,2023-07-03 13:30:15.019754072,2,193.98575,32.0,-0.062066016475366324,6206.584957536632,-0.030290076980236336,0.01669
4879,2023-07-03 13:30:15.019754072,2,193.97543,25.0,-0.04848801438075494,4848.784748075494,-0.02429007698023611,0.01669
4880,2023-07-03 13:30:15.019754072,2,193.97518,43.0,-0.0834022444668985,8340.20775668985,-0.017290076980231106,0.01669
4881,2023-07-03 13:30:15.021061412,2,193.97475,33.0,-0.06400030077259652,6400.013067459652,-0.03529007698023179,0.0170098
4882,2023-07-03 13:30:15.021061412,2,193.96442000000002,31.0,-0.06012139647413615,6012.122637613615,-0.02529007698021246,0.0170098
4883,2023-07-03 13:30:15.021061412,2,193.96411,30.0,-0.05818250607490593,5818.233597690593,-0.023290076980231333,0.0170098
4884,2023-07-03 13:30:15.021061412,2,193.96381000000002,45.0,-0.0872740565633589,8727.38864653589,-0.02229007698022656,0.0170098
4885,2023-07-03 13:30:15.021061412,2,193.96336000000002,41.0,-0.07951002982343812,7950.985676843812,-0.037290076980212916,0.0173055
4886,2023-07-03 13:30:15.021061412,2,193.96295,43.0,-0.0833901117218985,8338.99386668985,-0.03329007698022224,0.0173055
4887,2023-07-03 13:30:15.021061412,2,193.96252,34.0,-0.06593554682882671,6593.537377382672,-0.03529007698023179,0.0173055
4888,2023-07-03 13:30:15.021061412,2,193.96218000000002,50.0,-0.09696836801650989,9696.819496150989,-0.026290076980217236,0.0173055
4889,2023-07-03 13:30:15.021201344,2,193.96168,50.0,-0.09696010978350988,9695.994496150988,-0.04229007698023679,0.0164822
4890,2023-07-03 13:30:15.045353266,2,193.96118,23.0,-0.04460156285429455,4460.139758229455,-0.04229007698023679,0.0165272
4891,2023-07-03 13:30:15.125329464,2,193.96095000000003,21.0,-0.040728798423834166,4072.863268383416,-0.015290076980221556,0.016574
4892,2023-07-03 13:30:15.136511644,2,193.96074000000002,33.0,-0.06400293215059653,6400.276737459653,-0.013290076980212007,0.0164776
4893,2023-07-03 13:30:15.136536329,2,193.97041000000002,45.0,-0.0872756715683589,8727.55064653589,-0.02529007698021246,0.0165103
4894,2023-07-03 13:30:15.137583838,2,193.96996000000001,44.0,-0.08533073263612873,8533.056836612872,-0.037290076980212916,0.016427
4895,2023-07-03 13:30:15.142576534,2,193.96952,48.0,-0.0930883475580495,9308.81807630495,-0.03629007698023656,0.0166795
4896,2023-07-03 13:30:15.142576534,2,193.95904000000002,19.0,-0.03684476538037376,3684.459858537376,-0.04029007698022724,0.0166795
4897,2023-07-03 13:30:15.142576534,2,193.95885,26.0,-0.05042659997498514,5042.643317998514,-0.011290076980230879,0.0166795
4898,2023-07-03 13:30:15.143712269,2,193.95859000000002,50.0,-0.09697056847250987,9697.039996150988,-0.01829007698023588,0.0168511
